country,total_cases,total_deaths,total_recovered,active_cases,serious_critical,total_cases_per_1m_pop,deaths_per_1m_pop,total_tests,tests_per_1m_pop,population,name,country_population,region
USA,111820082,1219487,"109,814,428",0,"786,167",940,333985,3642,1186851502,3544901,USA,334998398,North America
India,45035393,533570,0,0,0,0,32016,379,935879495,665334,India,1339330514,South Asia
France,40138560,167642,"39,970,918",0,0,0,612013,2556,271490188,4139547,France,68084217,Europe
Germany,38828995,183027,"38,240,600",0,"405,368",0,462891,2182,122332384,1458359,Germany,79903481,Europe
Brazil,38743918,711380,"36,249,161",0,"1,783,377",0,179908,3303,63776166,296146,Brazil,213445417,South America
South Korea,34571873,35934,"34,535,939",0,0,0,673523,700,15804065,307892,South Korea,51715162,East Asia/Southeast Asia
Japan,33803572,74694,0,0,0,0,269169,595,100414883,799578,Japan,124687293,East Asia/Southeast Asia
Italy,26723249,196487,"26,361,218",0,"165,544",22,443445,3261,281126449,4665010,Italy,62390364,Europe
UK,24910387,232112,"24,678,275",0,0,0,363666,3389,522526476,7628357,UK,67081000,Europe
Russia,24124215,402756,"23,545,818",0,"175,641",0,165454,2762,273400000,1875095,Russia,142320790,Central Asia
Turkey,17232066,102174,0,0,0,0,201399,1194,162743369,1902052,Turkey,82482383,Middle East
Spain,13914811,121760,"13,762,417",0,"30,634",231,297840,2606,471036328,10082298,Spain,47260584,Europe
Australia,11853144,24414,"11,820,014",0,"8,716",3,454687,937,81916639,3142326,Australia,25809973,Australia - Oceania
Vietnam,11625195,43206,"10,640,971",0,"941,018",0,117481,437,85826548,867342,Vietnam,102789598,East Asia/Southeast Asia
Taiwan,10241523,19005,"10,222,518",0,0,0,428720,796,30742304,1286903,Taiwan,23572052,East Asia/Southeast Asia
Argentina,10128845,130841,"9,997,258",0,746,0,220143,2844,35716069,776264,Argentina,45864941,South America
Netherlands,8635786,22992,"8,612,599",0,195,0,501747,1336,25984435,1509718,Netherlands,17337403,Europe
Mexico,7702809,334958,"6,899,865",0,"467,986",0,58549,2546,20013810,152124,Mexico,130207371,North America
Iran,7627186,146811,0,0,0,0,88665,1707,57320267,666338,Iran,85888910,Middle East
Indonesia,6829221,162063,"6,647,104",0,"20,054",0,24466,581,114158919,408975,Indonesia,275122131,East Asia/Southeast Asia
Poland,6661991,120598,0,0,0,0,176524,3196,39323709,1041970,Poland,38185913,Europe
Colombia,6400173,143200,"6,212,152",0,"44,821",342,124244,2780,36951507,717327,Colombia,50355650,South America
Greece,6101379,37869,0,0,0,0,591412,3671,102228365,9909078,Greece,10569703,Europe
Austria,6081287,22542,"6,054,934",0,"3,811",0,670727,2486,211273524,23302116,Austria,8884864,Europe
Portugal,5643062,28126,"5,614,809",0,127,61,556484,2774,46139518,4549993,Portugal,10263850,Europe
Ukraine,5557995,112418,"5,445,577",0,0,0,128681,2603,32603805,754855,Ukraine,43745640,Europe
Chile,5384853,64497,"5,252,450",0,"67,906",7,279730,3350,50382097,2617225,Chile,18307925,South America
Malaysia,5278406,37348,"5,233,268",0,"7,790",11,159079,1126,68580916,2066869,Malaysia,33519406,East Asia/Southeast Asia
Canada,4946090,59034,"4,881,312",+350,"5,744",99,128843,1538,66572774,1734189,Canada,37943231,North America
Belgium,4861695,34376,"4,826,798",+50,521,0,416659,2946,37454182,3209915,Belgium,11778842,Europe
Israel,4841772,12707,"4,798,473",0,"30,592",0,519169,1363,41373364,4436346,Israel,8787045,Middle East
North Korea,4772813,74,"4,772,739",0,0,0,183636,3,0,0,North Korea,25831360,East Asia/Southeast Asia
Thailand,4770149,34586,"4,692,636",0,"42,927",0,68069,494,17273454,246488,Thailand,69480520,East Asia/Southeast Asia
Czechia,4759041,43517,"4,715,206",0,318,2,443246,4053,57834241,5386552,Czechia,10702596,Europe
Peru,4572667,222161,"4,350,506",0,0,4,135751,6595,39010194,1158115,Peru,32201224,South America
Switzerland,4453053,14452,"4,438,309",0,292,0,507549,1647,23833472,2716487,Switzerland,8453550,Europe
Philippines,4140383,66864,"4,067,381",0,"6,138",0,36800,594,36102746,320888,Philippines,110818325,East Asia/Southeast Asia
South Africa,4076463,102595,"3,912,506",0,"61,362",192,67095,1689,26795090,441027,South Africa,56978635,Africa
Romania,3529735,68929,"3,460,149",+390,657,21,185470,3622,28758667,1511122,Romania,21230362,Europe
Denmark,3183756,8814,"3,174,942",0,0,0,545636,1511,129333107,22165247,Denmark,5894687,Europe
Singapore,3006155,2024,"3,004,131",0,0,4,505785,341,24756666,4165302,Singapore,5866139,East Asia/Southeast Asia
Hong Kong,2937609,14924,"2,916,005",0,"6,680",0,386309,1963,76127725,10011143,Hong Kong,7263234,East Asia/Southeast Asia
Sweden,2754129,27407,"2,726,492",+20,230,0,269511,2682,19500873,1908301,Sweden,10261767,Europe
New Zealand,2621111,5697,"2,613,791",0,"1,623",0,535117,1163,7768604,1586011,New Zealand,4991442,Australia - Oceania
Serbia,2615054,18057,"2,596,608",0,389,0,302213,2087,13463733,1555958,Serbia,6974289,Europe
Iraq,2465545,25375,"2,439,497",0,673,0,58474,602,19544451,463523,Iraq,39650145,Middle East
Hungary,2230232,49048,"2,152,155",0,"29,029",0,232164,5106,11394556,1186160,Hungary,9728337,Europe
Bangladesh,2049377,29493,0,0,0,0,12207,176,15254399,90862,Bangladesh,164098818,South Asia
Slovakia,1877605,21224,"1,856,381",0,0,23,343872,3887,7448789,1364199,Slovakia,5436066,Europe
